1,-2.466,41.802,431808.93,3896712.227,103.804,431834.729,3896023.91,1261.736,0,0,0,1
2,-25.56,42.06,431808.93,3896712.227,103.804,432224.292,3896015.36,1266.845,0,0,0,1
1,17.688,44.85,432141.425,3896758.024,102.361,431834.729,3896023.91,1261.736,0,0,0,0
2,-5.4,44.874,432141.425,3896758.024,102.361,432224.292,3896015.36,1266.845,0,0,0,0
3,-28.416,44.85,432141.425,3896758.024,102.361,432616.141,3896018.089,1269.803,0,0,0,0
2,24.336,25.476,432634.11,3896438.448,93.105,432224.292,3896015.36,1266.845,0,0,0,1
3,1.188,25.116,432634.11,3896438.448,93.105,432616.141,3896018.089,1269.803,0,0,0,1
1,-4.98,3.012,431755.838,3896076.051,95.985,431834.729,3896023.91,1261.736,0,0,0,0
2,-28.38,3.45,431755.838,3896076.051,95.985,432224.292,3896015.36,1266.845,0,0,0,0
1,20.778,-1.458,432180.74,3895994.697,95.783,431834.729,3896023.91,1261.736,0,0,0,0
2,-2.748,-1.308,432180.74,3895994.697,95.783,432224.292,3896015.36,1266.845,0,0,0,0
3,-26.256,-1.254,432180.74,3895994.697,95.783,432616.141,3896018.089,1269.803,0,0,0,0
2,22.98,-0.072,432604.89,3896012.866,106.612,432224.292,3896015.36,1266.845,0,0,0,0
3,-0.768,-0.36,432604.89,3896012.866,106.612,432616.141,3896018.089,1269.803,0,0,0,0
1,5.562,-29.178,431920.765,3895540.73,95.699,431834.729,3896023.91,1261.736,0,0,0,1
2,-18.264,-28.74,431920.765,3895540.73,95.699,432224.292,3896015.36,1266.845,0,0,0,1
4,-6.534,41.718,431920.765,3895540.73,95.699,432028.494,3894841.515,1273.147,0,0,0,1
5,-31.29,41.16,431920.765,3895540.73,95.699,432438.565,3894841.049,1274.012,0,0,0,1
1,30.114,-28.842,432320.491,3895545.355,111.407,431834.729,3896023.91,1261.736,0,0,0,0
2,5.898,-28.698,432320.491,3895545.355,111.407,432224.292,3896015.36,1266.845,0,0,0,0
3,-18.3,-28.698,432320.491,3895545.355,111.407,432616.141,3896018.089,1269.803,0,0,0,0
4,17.64,42.888,432320.491,3895545.355,111.407,432028.494,3894841.515,1273.147,0,0,0,0
5,-7.542,42.504,432320.491,3895545.355,111.407,432438.565,3894841.049,1274.012,0,0,0,0
6,-31.404,42.864,432320.491,3895545.355,111.407,432847.537,3894836.718,1272.414,0,0,0,0
2,29.07,-42.624,432661.461,3895303.802,92.897,432224.292,3896015.36,1266.845,0,0,0,1
3,2.316,-42.846,432661.461,3895303.802,92.897,432616.141,3896018.089,1269.803,0,0,0,1
5,13.2,27.84,432661.461,3895303.802,92.897,432438.565,3894841.049,1274.012,0,0,0,1
6,-10.614,27.816,432661.461,3895303.802,92.897,432847.537,3894836.718,1272.414,0,0,0,1
4,-4.416,2.298,431948.85,3894881.564,98.729,432028.494,3894841.515,1273.147,0,0,0,0
5,-28.938,1.854,431948.85,3894881.564,98.729,432438.565,3894841.049,1274.012,0,0,0,0
4,15.504,5.85,432279.569,3894936.203,106.091,432028.494,3894841.515,1273.147,0,0,0,0
5,-9.288,5.538,432279.569,3894936.203,106.091,432438.565,3894841.049,1274.012,0,0,0,0
6,-33.756,5.982,432279.569,3894936.203,106.091,432847.537,3894836.718,1272.414,0,0,0,0
5,24.654,0.558,432841.98,3894842.903,98.933,432438.565,3894841.049,1274.012,0,0,0,0
6,0.132,0.324,432841.98,3894842.903,98.933,432847.537,3894836.718,1272.414,0,0,0,0
4,-6.162,-37.116,431911.587,3894222.998,94.551,432028.494,3894841.515,1273.147,0,0,0,1
5,-30.294,-37.446,431911.587,3894222.998,94.551,432438.565,3894841.049,1274.012,0,0,0,1
4,20.862,-34.572,432361.531,3894265.021,101.316,432028.494,3894841.515,1273.147,0,0,0,0
5,-3.57,-34.722,432361.531,3894265.021,101.316,432438.565,3894841.049,1274.012,0,0,0,0
6,-28.746,-34.35,432361.531,3894265.021,101.316,432847.537,3894836.718,1272.414,0,0,0,0
5,29.214,-47.646,432906.351,3894033.82,89.122,432438.565,3894841.049,1274.012,0,0,0,1
6,3.936,-47.898,432906.351,3894033.82,89.122,432847.537,3894836.718,1272.414,0,0,0,1